ano,mes,seguradora,vendedor,tot_apolices,receita
2019,1,72,58,1,"65,3"
2019,1,72,57,4,"1360,235"
2019,1,72,56,3,"276,49"
2019,1,72,47,2,"-1707,095"
2019,1,72,38,3,"1080,745"
2019,1,72,35,2,"446,095"
2019,1,72,20,2,"462,035"
2019,1,72,17,1,"139,395"
2019,1,72,16,2,"125,85"
2019,1,72,14,2,"126,785"
2019,1,72,12,6,"412,11"
2019,1,72,9,1,"66,515"
2019,1,72,2,3,"631,265"
2019,1,72,1,1,"155,67"
2019,1,66,57,2,"89,42"
2019,1,66,56,1,"90,9"
2019,1,66,55,1,"71,42"
2019,1,66,38,5,"265,21"
2019,1,66,20,1,"71,42"
2019,1,66,16,3,"223,485"
2019,1,66,14,2,"642,53"
2019,1,66,1,1,"71,42"
2019,1,44,56,1,"84,095"
2019,1,44,42,1,"81,8"
2019,1,44,38,4,"474,08"
2019,1,44,16,1,69
2019,1,44,14,1,69
2019,1,44,9,1,"83,11"
2019,1,55,20,1,"1283,105"
2019,1,58,9,2,"175,175"
2019,1,23,20,1,"110,8"
2019,1,21,12,1,"3225,78"
2019,2,21,16,1,"395,995"
2019,2,38,56,1,"243,45"
2019,2,23,20,1,"110,25"
2019,2,58,9,2,"100,07"
2019,2,43,17,1,"243,265"
2019,2,44,56,1,"546,86"
2019,2,44,42,2,"76,31"
2019,2,44,38,5,"788,665"
2019,2,44,16,4,"344,69"
2019,2,44,14,2,"98,875"
2019,2,44,12,4,"352,765"
2019,2,44,9,2,"100,015"
2019,2,64,26,2,"113,165"
2019,2,31,57,1,"810,835"
2019,2,31,35,1,"94,68"
2019,2,31,20,1,"880,185"
2019,2,31,1,2,"806,33"
2019,2,66,57,3,"997,575"
2019,2,66,56,2,"105,315"
2019,2,66,47,1,"71,42"
2019,2,66,39,1,"60,71"
2019,2,66,38,8,"506,76"
2019,2,66,35,3,"289,81"
2019,2,66,20,3,"156,815"
2019,2,66,19,5,"264,65"
2019,2,66,18,1,"92,985"
2019,2,66,16,4,"393,005"
2019,2,66,14,4,"369,59"
2019,2,66,1,2,"205,125"
2019,2,72,57,8,"3043,035"
2019,2,72,56,8,"1198,175"
2019,2,72,47,5,"503,455"
2019,2,72,46,1,"104,27"
2019,2,72,42,2,"2521,845"
2019,2,72,41,3,"394,86"
2019,2,72,39,2,"932,205"
2019,2,72,38,10,"2750,97"
2019,2,72,35,4,"503,985"
2019,2,72,20,3,"1111,17"
2019,2,72,18,1,"220,06"
2019,2,72,16,7,"1714,765"
2019,2,72,14,8,"4534,645"
2019,2,72,12,13,"772,495"
2019,2,72,9,4,"396,685"
2019,2,72,1,7,"1748,59"
2019,3,72,56,2,"-401,11"
2019,3,72,55,3,"818,83"
2019,3,72,54,4,"3250,915"
2019,3,72,53,1,"72,95"
2019,3,72,52,1,"209,055"
2019,3,72,47,5,"636,58"
2019,3,72,46,2,"302,815"
2019,3,72,43,7,"1099,06"
2019,3,72,39,1,67
2019,3,72,38,2,"418,8"
2019,3,72,20,3,"2386,4"
2019,3,72,17,1,"381,35"
2019,3,72,16,10,"4084,53"
2019,3,72,14,3,"516,385"
2019,3,72,12,8,"4315,47"
2019,3,72,9,5,"1033,19"
2019,3,72,1,5,"1760,055"
2019,3,66,57,4,"564,665"
2019,3,66,56,5,"242,605"
2019,3,66,55,1,"105,74"
2019,3,66,52,1,"86,055"
2019,3,66,46,6,"230,11"
2019,3,66,43,1,"65,91"
2019,3,66,39,1,"64,99"
2019,3,66,38,7,"1566,755"
2019,3,66,19,1,"79,725"
2019,3,66,17,3,"164,915"
2019,3,66,16,4,"162,05"
2019,3,66,14,4,"518,18"
2019,3,66,13,1,"169,01"
2019,3,66,2,1,"87,17"
2019,3,66,1,5,"706,425"
2019,3,31,57,1,"187,825"
2019,3,31,54,1,"122,045"
2019,3,31,20,1,"2182,525"
2019,3,31,12,1,"3419,16"
2019,3,31,9,1,"255,875"
2019,3,64,57,1,75
2019,3,64,16,1,"104,23"
2019,3,83,56,1,"57,77"
2019,3,81,54,1,"102,7"
2019,3,81,20,1,"2002,635"
2019,3,44,56,2,"561,495"
2019,3,44,42,3,"142,405"
2019,3,44,38,7,"170,985"
2019,3,44,35,2,69
2019,3,44,16,5,"186,1"
2019,3,44,12,7,"185,885"
2019,3,44,9,1,69
2019,3,43,56,1,"79,255"
2019,3,58,9,2,"100,07"
2019,3,23,20,1,"110,25"
2019,3,55,20,2,"411,955"
2019,3,42,59,1,"101,845"
2019,3,21,20,5,"1381,1"
2019,3,13,57,1,"146,975"
2019,4,21,20,2,"522,985"
2019,4,55,20,3,"3119,31"
2019,4,55,19,1,"270,655"
2019,4,23,16,2,"175,37"
2019,4,43,56,1,"79,255"
2019,4,44,56,1,"173,46"
2019,4,44,54,1,"542,175"
2019,4,44,42,4,"100,465"
2019,4,44,38,15,"1601,595"
2019,4,44,35,1,"59,5"
2019,4,44,17,1,59
2019,4,44,16,3,"111,75"
2019,4,44,12,7,"257,275"
2019,4,44,9,4,"137,185"
2019,4,83,56,1,"57,77"
2019,4,64,57,2,"146,1"
2019,4,64,26,6,"1669,51"
2019,4,64,16,1,"394,815"
2019,4,31,56,2,"1233,775"
2019,4,31,12,1,"3419,16"
2019,4,31,9,1,"87,5"
2019,4,66,58,1,"58,61"
2019,4,66,57,2,"93,18"
2019,4,66,56,16,"1268,605"
2019,4,66,55,2,"111,45"
2019,4,66,54,1,"70,52"
2019,4,66,52,1,"113,815"
2019,4,66,41,1,"286,795"
2019,4,66,38,5,"1268,66"
2019,4,66,20,2,"520,37"
2019,4,66,19,1,"97,6"
2019,4,66,16,6,"452,685"
2019,4,66,14,7,"1980,64"
2019,4,66,1,2,"177,54"
2019,4,72,58,1,"325,62"
2019,4,72,57,5,"381,14"
2019,4,72,56,16,"1602,375"
2019,4,72,55,1,"487,06"
2019,4,72,54,6,"4437,425"
2019,4,72,52,1,"234,125"
2019,4,72,47,5,"234,245"
2019,4,72,46,1,"225,065"
2019,4,72,43,3,"284,92"
2019,4,72,42,2,"111,715"
2019,4,72,41,1,"651,81"
2019,4,72,39,1,"6269,195"
2019,4,72,38,15,"6013,9"
2019,4,72,35,3,"284,88"
2019,4,72,20,2,"725,55"
2019,4,72,19,11,"5873,685"
2019,4,72,16,9,"3636,405"
2019,4,72,14,8,"5634,165"
2019,4,72,12,9,"5312,975"
2019,4,72,9,2,"152,21"
2019,4,72,1,4,"1095,23"
2019,5,72,59,2,"115,81"
2019,5,72,57,1,"94,59"
2019,5,72,56,2,"1767,72"
2019,5,72,55,1,"487,06"
2019,5,72,54,5,"3273,49"
2019,5,72,47,1,"56,375"
2019,5,72,43,2,"457,345"
2019,5,72,38,4,"624,355"
2019,5,72,20,1,"430,545"
2019,5,72,19,7,"4823,11"
2019,5,72,17,7,"1266,63"
2019,5,72,16,5,"1843,695"
2019,5,72,14,7,"1648,115"
2019,5,72,12,10,"1133,035"
2019,5,72,9,2,"284,885"
2019,5,72,1,2,"710,345"
2019,5,66,58,1,"361,155"
2019,5,66,57,3,"107,415"
2019,5,66,56,6,"695,255"
2019,5,66,55,4,"67,74"
2019,5,66,54,2,"1026,33"
2019,5,66,52,2,"284,555"
2019,5,66,47,2,"161,875"
2019,5,66,44,1,"87,475"
2019,5,66,43,1,"89,185"
2019,5,66,42,1,"162,96"
2019,5,66,38,2,"177,175"
2019,5,66,20,5,"372,065"
2019,5,66,19,11,"540,59"
2019,5,66,17,1,"71,42"
2019,5,66,16,8,"370,93"
2019,5,66,14,10,"678,465"
2019,5,66,1,3,"238,88"
2019,5,31,57,6,"4430,165"
2019,5,31,26,1,"-4622,065"
2019,5,31,16,2,"2369,195"
2019,5,31,12,3,"5040,75"
2019,5,31,1,1,"108,4"
2019,5,64,57,5,"294,575"
2019,5,64,16,3,"450,53"
2019,5,83,42,1,"60,385"
2019,5,81,54,1,"82,06"
2019,5,44,58,1,"82,86"
2019,5,44,54,7,"807,045"
2019,5,44,42,4,"227,83"
2019,5,44,39,1,"61,875"
2019,5,44,38,13,"689,555"
2019,5,44,35,1,75
2019,5,44,17,1,41
2019,5,44,16,4,"952,825"
2019,5,44,14,1,"2161,05"
2019,5,44,12,7,"929,11"
2019,5,44,9,7,"451,305"
2019,5,43,56,1,"79,255"
2019,5,23,56,1,"566,35"
2019,5,21,54,1,"-171,935"
2019,5,21,20,3,"597,11"
2019,5,19,54,1,"330,865"
2019,6,19,54,1,"330,865"
2019,6,42,20,1,"234,005"
2019,6,21,20,4,"678,315"
2019,6,21,16,1,"60,365"
2019,6,13,18,1,"314,14"
2019,6,13,16,1,"224,565"
2019,6,23,56,1,"153,295"
2019,6,43,56,2,"97,895"
2019,6,55,57,1,"4963,17"
2019,6,55,20,5,"6644,87"
2019,6,44,56,3,"3542,07"
2019,6,44,42,1,"61,875"
2019,6,44,39,2,"75,275"
2019,6,44,38,5,"178,895"
2019,6,44,20,1,"78,485"
2019,6,44,16,5,"344,415"
2019,6,44,15,1,"520,705"
2019,6,44,14,8,"300,69"
2019,6,44,12,5,"181,6"
2019,6,44,9,3,"139,74"
2019,6,81,54,1,"115,085"
2019,6,83,56,1,"57,77"
2019,6,83,42,1,"60,385"
2019,6,64,57,2,"220,85"
2019,6,64,16,1,"394,815"
2019,6,31,57,3,"314,825"
2019,6,31,56,1,"810,42"
2019,6,31,38,1,"675,28"
2019,6,31,16,1,"240,65"
2019,6,31,12,1,"163,51"
2019,6,31,9,1,"127,785"
2019,6,66,57,9,"909,48"
2019,6,66,56,5,"308,24"
2019,6,66,55,6,"115,155"
2019,6,66,54,1,"382,205"
2019,6,66,46,1,"76,825"
2019,6,66,43,1,"100,06"
2019,6,66,42,3,"210,96"
2019,6,66,38,5,"1244,415"
2019,6,66,20,11,"410,665"
2019,6,66,19,11,"1066,66"
2019,6,66,16,4,"315,645"
2019,6,66,14,1,"88,84"
2019,6,66,2,1,75
2019,6,66,1,2,"594,02"
2019,6,72,59,2,"92,84"
2019,6,72,57,4,"1837,075"
2019,6,72,56,11,"14808,835"
2019,6,72,55,3,"1977,6"
2019,6,72,54,3,"2641,08"
2019,6,72,47,3,"232,84"
2019,6,72,46,1,"225,065"
2019,6,72,43,5,"364,735"
2019,6,72,42,2,"371,19"
2019,6,72,41,1,"457,815"
2019,6,72,39,1,"621,07"
2019,6,72,38,1,"199,645"
2019,6,72,35,4,"581,96"
2019,6,72,20,1,"90,16"
2019,6,72,19,5,"1601,285"
2019,6,72,17,2,"553,31"
2019,6,72,16,17,"4668,9"
2019,6,72,14,10,"2275,985"
2019,6,72,12,14,"2543,39"
2019,6,72,9,4,"750,885"
2019,6,72,1,2,"673,84"
2019,7,72,59,1,"100,24"
2019,7,72,57,13,"2716,105"
2019,7,72,56,6,"476,93"
2019,7,72,54,2,"518,665"
2019,7,72,47,2,"246,29"
2019,7,72,46,1,"225,065"
2019,7,72,43,3,"1000,52"
2019,7,72,42,3,"251,515"
2019,7,72,41,2,"2633,815"
2019,7,72,39,2,"990,6"
2019,7,72,38,15,"2004,27"
2019,7,72,35,11,"928,035"
2019,7,72,20,5,"3858,925"
2019,7,72,19,2,"678,34"
2019,7,72,18,2,"-705,945"
2019,7,72,17,1,"453,58"
2019,7,72,16,12,"3043,705"
2019,7,72,14,15,"5740,98"
2019,7,72,12,12,"231,945"
2019,7,72,9,1,"62,75"
2019,7,72,2,3,"377,235"
2019,7,72,1,2,"252,37"
2019,7,66,59,1,"71,42"
2019,7,66,58,2,"86,535"
2019,7,66,57,5,"341,745"
2019,7,66,56,11,"544,595"
2019,7,66,55,5,"165,325"
2019,7,66,54,2,"499,5"
2019,7,66,52,1,"123,65"
2019,7,66,43,1,"94,145"
2019,7,66,42,3,"617,605"
2019,7,66,39,1,"153,21"
2019,7,66,38,5,"989,715"
2019,7,66,35,12,"233,08"
2019,7,66,20,6,"963,985"
2019,7,66,19,6,"262,655"
2019,7,66,17,3,"449,58"
2019,7,66,16,17,"1452,33"
2019,7,66,14,4,"533,73"
2019,7,66,6,1,"13704,52"
2019,7,66,1,3,"129,71"
2019,7,31,56,1,"981,415"
2019,7,31,54,2,"2892,38"
2019,7,31,47,1,"828,81"
2019,7,31,39,1,"136,89"
2019,7,31,35,2,"-901,49"
2019,7,31,16,3,"1719,895"
2019,7,31,9,3,"162,5"
2019,7,64,57,2,"185,355"
2019,7,64,26,3,"1717,98"
2019,7,64,16,3,"535,085"
2019,7,83,54,1,"612,55"
2019,7,83,42,2,"72,035"
2019,7,83,16,1,"-68,465"
2019,7,74,2,1,"58,35"
2019,7,44,56,2,"97,5"
2019,7,44,54,3,"416,93"
2019,7,44,47,1,100
2019,7,44,43,1,"155,43"
2019,7,44,42,8,"377,44"
2019,7,44,39,1,"61,875"
2019,7,44,38,15,"456,79"
2019,7,44,17,1,"72,5"
2019,7,44,16,8,"372,3"
2019,7,44,14,7,"240,425"
2019,7,44,13,1,150
2019,7,44,12,5,"342,94"
2019,7,44,9,3,"314,71"
2019,7,55,57,1,"2506,585"
2019,7,55,20,1,"174,565"
2019,7,23,9,1,"300,76"
2019,7,13,57,1,"110,3"
2019,7,13,16,1,"250,51"
2019,7,21,20,2,"258,145"
2019,7,42,58,1,"219,05"
2019,7,19,54,1,"388,785"
2019,8,19,54,1,"388,785"
2019,8,19,13,1,"335,625"
2019,8,21,16,1,"159,54"
2019,8,6,12,1,"-137,08"
2019,8,23,16,1,"2201,69"
2019,8,43,17,1,"130,93"
2019,8,54,42,1,"1031,16"
2019,8,75,22,1,"87,5"
2019,8,62,22,1,"318,28"
2019,8,55,20,1,"1229,275"
2019,8,55,19,1,"8396,83"
2019,8,44,42,6,"308,765"
2019,8,44,38,5,"275,635"
2019,8,44,35,1,"61,875"
2019,8,44,16,8,"237,575"
2019,8,44,14,5,"168,75"
2019,8,44,12,4,"162,77"
2019,8,44,9,2,"97,5"
2019,8,44,2,1,69
2019,8,44,1,1,"130,78"
2019,8,74,20,2,"1627,375"
2019,8,77,20,1,"2329,63"
2019,8,81,47,3,"172,4"
2019,8,83,54,1,"612,56"
2019,8,83,42,1,"89,955"
2019,8,64,57,1,"604,7"
2019,8,64,26,1,"1334,875"
2019,8,64,16,1,"97,115"
2019,8,31,57,5,"2434,175"
2019,8,31,39,1,"68,75"
2019,8,31,38,3,"1129,04"
2019,8,31,35,6,"4350,955"
2019,8,31,16,7,"4139,555"
2019,8,31,14,1,"210,17"
2019,8,66,59,3,"53,68"
2019,8,66,58,1,"82,87"
2019,8,66,57,7,"958,185"
2019,8,66,56,6,"572,185"
2019,8,66,55,1,"71,415"
2019,8,66,47,2,"121,835"
2019,8,66,44,1,"98,215"
2019,8,66,43,8,"1084,645"
2019,8,66,39,1,"77,005"
2019,8,66,38,5,"332,2"
2019,8,66,35,6,"320,61"
2019,8,66,20,4,"165,665"
2019,8,66,19,20,"2017,99"
2019,8,66,17,1,"146,43"
2019,8,66,16,8,"822,7"
2019,8,66,14,7,"560,98"
2019,8,66,9,2,"204,795"
2019,8,66,2,7,"344,87"
2019,8,66,1,1,"488,505"
2019,8,72,59,5,"1160,47"
2019,8,72,56,9,"3789,495"
2019,8,72,54,1,"165,34"
2019,8,72,47,3,"1150,075"
2019,8,72,43,6,"687,795"
2019,8,72,42,5,"1152,795"
2019,8,72,41,5,"1204,66"
2019,8,72,38,5,"642,175"
2019,8,72,35,7,"-515,955"
2019,8,72,20,3,"2650,24"
2019,8,72,19,3,"819,595"
2019,8,72,16,15,"4600,555"
2019,8,72,14,8,"2642,67"
2019,8,72,13,1,"90,195"
2019,8,72,12,22,"1203,275"
2019,8,72,9,3,"1237,475"
2019,8,72,2,4,"150,45"
2019,8,72,1,1,"289,75"
2019,9,72,59,4,"178,205"
2019,9,72,57,1,"245,15"
2019,9,72,56,1,"349,15"
2019,9,72,47,1,"362,145"
2019,9,72,43,2,"285,625"
2019,9,72,42,1,"119,145"
2019,9,72,39,2,"283,46"
2019,9,72,38,3,"1917,585"
2019,9,72,17,2,"266,29"
2019,9,72,16,8,"4005,715"
2019,9,72,15,1,"261,175"
2019,9,72,14,7,"3294,63"
2019,9,72,12,7,"912,035"
2019,9,72,9,3,"382,33"
2019,9,72,2,3,"1297,45"
2019,9,66,57,5,"797,215"
2019,9,66,56,4,"158,615"
2019,9,66,55,3,"311,84"
2019,9,66,44,2,"209,445"
2019,9,66,43,1,"150,19"
2019,9,66,42,1,"289,705"
2019,9,66,39,4,"687,2"
2019,9,66,38,1,"60,71"
2019,9,66,35,1,"108,935"
2019,9,66,20,6,"306,545"
2019,9,66,19,20,"2330,84"
2019,9,66,16,17,"936,64"
2019,9,66,14,3,"291,235"
2019,9,66,9,3,"348,13"
2019,9,66,1,2,"348,825"
2019,9,31,57,3,"718,2"
2019,9,31,38,3,"1133,13"
2019,9,31,35,3,"6252,6"
2019,9,31,16,3,"1302,7"
2019,9,31,9,5,"233,235"
2019,9,64,57,1,"327,35"
2019,9,64,26,2,"455,385"
2019,9,64,16,2,"246,85"
2019,9,83,54,1,"612,56"
2019,9,83,42,1,"73,3"
2019,9,77,20,1,"2319,855"
2019,9,44,59,1,"71,25"
2019,9,44,57,1,"200,94"
2019,9,44,54,1,100
2019,9,44,42,10,"518,485"
2019,9,44,39,1,"61,875"
2019,9,44,38,6,"444,77"
2019,9,44,17,3,"118,875"
2019,9,44,16,9,"839,765"
2019,9,44,14,1,"74,19"
2019,9,44,12,7,"787,86"
2019,9,44,9,3,"125,205"
2019,9,55,20,1,"479,22"
2019,9,55,12,1,"25766,23"
2019,9,62,22,1,"2231,67"
2019,9,54,42,1,"1031,16"
2019,9,23,16,1,"2201,695"
2019,9,6,17,1,"73,085"
2019,9,21,57,1,"3740,865"
2019,9,21,56,1,140
2019,9,21,20,1,"404,565"
2019,9,21,16,3,"1493,14"
2019,9,19,13,1,"337,045"
2019,10,35,20,1,"67,88"
2019,10,21,20,1,"76,75"
2019,10,21,16,1,50
2019,10,13,16,1,"86,775"
2019,10,54,42,1,"1031,16"
2019,10,56,17,1,"279,66"
2019,10,55,20,2,"4914,39"
2019,10,44,54,1,"1234,12"
2019,10,44,42,3,"113,85"
2019,10,44,38,5,"239,915"
2019,10,44,20,1,"72,895"
2019,10,44,16,12,3748
2019,10,44,12,8,"1134,19"
2019,10,44,9,6,"231,51"
2019,10,83,54,1,"612,56"
2019,10,83,42,2,"81,625"
2019,10,64,57,1,"327,35"
2019,10,64,26,1,"494,605"
2019,10,64,22,1,"67,63"
